央视高清,#genre#
CCTV12,http://121.33.239.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&url=tvzb.com
CCTV13,http://121.33.239.242:9901/tsfile/live/0013_1.m3u8?key=txiptv&url=tvzb.com
CCTV14,http://121.33.239.242:9901/tsfile/live/0014_1.m3u8?key=txiptv&url=tvzb.com
CCTV15,http://121.33.239.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&url=tvzb.com
浙江卫视,http://121.33.239.242:9901/tsfile/live/0016_1.m3u8?key=txiptv&url=tvzb.com
吉林卫视,http://121.33.239.242:9901/tsfile/live/0017_1.m3u8?key=txiptv&url=tvzb.com
辽宁卫视,http://121.33.239.242:9901/tsfile/live/0018_1.m3u8?key=txiptv&url=tvzb.com
黑龙江卫视,http://121.33.239.242:9901/tsfile/live/0019_1.m3u8?key=txiptv&url=tvzb.com
河南卫视,http://121.33.239.242:9901/tsfile/live/0139_1.m3u8?key=txiptv&url=tvzb.com
内蒙古卫视,http://121.33.239.242:9901/tsfile/live/0109_1.m3u8?key=txiptv&url=tvzb.com
海南卫视,http://121.33.239.242:9901/tsfile/live/1000_1.m3u8?key=txiptv&url=tvzb.com
广东体育,http://121.33.239.242:9901/tsfile/live/1001_1.m3u8?key=txiptv&url=tvzb.com
广西卫视,http://121.33.239.242:9901/tsfile/live/0113_1.m3u8?key=txiptv&url=tvzb.com
云南卫视,http://121.33.239.242:9901/tsfile/live/0119_1.m3u8?key=txiptv&url=tvzb.com
江西卫视,http://121.33.239.242:9901/tsfile/live/0138_1.m3u8?key=txiptv&url=tvzb.com
山西卫视,http://121.33.239.242:9901/tsfile/live/0118_1.m3u8?key=txiptv&url=tvzb.com
河北卫视,http://121.33.239.242:9901/tsfile/live/0117_1.m3u8?key=txiptv&url=tvzb.com
青海卫视,http://121.33.239.242:9901/tsfile/live/0140_1.m3u8?key=txiptv&url=tvzb.com
甘肃卫视,http://121.33.239.242:9901/tsfile/live/0141_1.m3u8?key=txiptv&url=tvzb.com
陕西卫视,http://121.33.239.242:9901/tsfile/live/0136_1.m3u8?key=txiptv&url=tvzb.com
广东影视,http://121.33.239.242:9901/tsfile/live/1002_1.m3u8?key=txiptv&url=tvzb.com
财富天下,http://121.33.239.242:9901/tsfile/live/1003_1.m3u8?key=txiptv&url=tvzb.com
广东卫视,http://121.33.239.242:9901/tsfile/live/0125_1.m3u8?key=txiptv&url=tvzb.com
深圳都市,http://121.33.239.242:9901/tsfile/live/1004_1.m3u8?key=txiptv&url=tvzb.com
北京卫视,http://121.33.239.242:9901/tsfile/live/0122_1.m3u8?key=txiptv&url=tvzb.com
上海卫视,http://121.33.239.242:9901/tsfile/live/0107_1.m3u8?key=txiptv&url=tvzb.com
天津卫视,http://121.33.239.242:9901/tsfile/live/0135_1.m3u8?key=txiptv&url=tvzb.com
重庆卫视,http://121.33.239.242:9901/tsfile/live/0142_1.m3u8?key=txiptv&url=tvzb.com
江苏卫视,http://121.33.239.242:9901/tsfile/live/0127_1.m3u8?key=txiptv&url=tvzb.com
湖南卫视,http://121.33.239.242:9901/tsfile/live/0128_1.m3u8?key=txiptv&url=tvzb.com
贵州卫视,http://121.33.239.242:9901/tsfile/live/0120_1.m3u8?key=txiptv&url=tvzb.com
安徽卫视,http://121.33.239.242:9901/tsfile/live/0130_1.m3u8?key=txiptv&url=tvzb.com
四川卫视,http://121.33.239.242:9901/tsfile/live/0123_1.m3u8?key=txiptv&url=tvzb.com
广东少儿,http://121.33.239.242:9901/tsfile/live/1006_1.m3u8?key=txiptv&url=tvzb.com
山东卫视,http://121.33.239.242:9901/tsfile/live/0131_1.m3u8?key=txiptv&url=tvzb.com
湖北卫视,http://121.33.239.242:9901/tsfile/live/0132_1.m3u8?key=txiptv&url=tvzb.com
深圳卫视,http://121.33.239.242:9901/tsfile/live/0126_1.m3u8?key=txiptv&url=tvzb.com
广东珠江,http://121.33.239.242:9901/tsfile/live/1007_1.m3u8?key=txiptv&url=tvzb.com
深圳少儿,http://121.33.239.242:9901/tsfile/live/1008_1.m3u8?key=txiptv&url=tvzb.com

咪咕视频,#genre#
CCTV1,http://218.15.229.90:9901/tsfile/live/0001_1.m3u8?key=txiptv&url=tvzb.com
CCTV2,http://218.15.229.90:9901/tsfile/live/0002_1.m3u8?key=txiptv&url=tvzb.com
CCTV3,http://218.15.229.90:9901/tsfile/live/0003_1.m3u8?key=txiptv&url=tvzb.com
CCTV4,http://218.15.229.90:9901/tsfile/live/0004_1.m3u8?key=txiptv&url=tvzb.com
CCTV5,http://218.15.229.90:9901/tsfile/live/0005_1.m3u8?key=txiptv&url=tvzb.com
CCTV6,http://218.15.229.90:9901/tsfile/live/0006_1.m3u8?key=txiptv&url=tvzb.com
CCTV7,http://218.15.229.90:9901/tsfile/live/0007_1.m3u8?key=txiptv&url=tvzb.com
CCTV8,http://218.15.229.90:9901/tsfile/live/0008_1.m3u8?key=txiptv&url=tvzb.com
CCTV9,http://218.15.229.90:9901/tsfile/live/0009_1.m3u8?key=txiptv&url=tvzb.com
CCTV10,http://218.15.229.90:9901/tsfile/live/0010_1.m3u8?key=txiptv&url=tvzb.com
CCTV12,http://218.15.229.90:9901/tsfile/live/0011_1.m3u8?key=txiptv&url=tvzb.com
CCTV13,http://218.15.229.90:9901/tsfile/live/0012_1.m3u8?key=txiptv&url=tvzb.com
CCTV14,http://218.15.229.90:9901/tsfile/live/0013_1.m3u8?key=txiptv&url=tvzb.com
CCTV15,http://218.15.229.90:9901/tsfile/live/0014_1.m3u8?key=txiptv&url=tvzb.com
浙江卫视,http://218.15.229.90:9901/tsfile/live/0015_1.m3u8?key=txiptv&url=tvzb.com
吉林卫视,http://218.15.229.90:9901/tsfile/live/0016_1.m3u8?key=txiptv&url=tvzb.com
辽宁卫视,http://218.15.229.90:9901/tsfile/live/0017_1.m3u8?key=txiptv&url=tvzb.com
黑龙江卫视,http://218.15.229.90:9901/tsfile/live/0018_1.m3u8?key=txiptv&url=tvzb.com
河南卫视,http://218.15.229.90:9901/tsfile/live/0019_1.m3u8?key=txiptv&url=tvzb.com
内蒙古卫视,http://218.15.229.90:9901/tsfile/live/0109_1.m3u8?key=txiptv&url=tvzb.com
海南卫视,http://218.15.229.90:9901/tsfile/live/1000_1.m3u8?key=txiptv&url=tvzb.com
广东体育,http://218.15.229.90:9901/tsfile/live/1001_1.m3u8?key=txiptv&url=tvzb.com
广西卫视,http://218.15.229.90:9901/tsfile/live/0113_1.m3u8?key=txiptv&url=tvzb.com
云南卫视,http://218.15.229.90:9901/tsfile/live/0119_1.m3u8?key=txiptv&url=tvzb.com
江西卫视,http://218.15.229.90:9901/tsfile/live/0138_1.m3u8?key=txiptv&url=tvzb.com
山西卫视,http://218.15.229.90:9901/tsfile/live/0118_1.m3u8?key=txiptv&url=tvzb.com
河北卫视,http://218.15.229.90:9901/tsfile/live/0117_1.m3u8?key=txiptv&url=tvzb.com
青海卫视,http://218.15.229.90:9901/tsfile/live/0140_1.m3u8?key=txiptv&url=tvzb.com
甘肃卫视,http://218.15.229.90:9901/tsfile/live/0141_1.m3u8?key=txiptv&url=tvzb.com
陕西卫视,http://218.15.229.90:9901/tsfile/live/0136_1.m3u8?key=txiptv&url=tvzb.com
广东影视,http://218.15.229.90:9901/tsfile/live/1002_1.m3u8?key=txiptv&url=tvzb.com
财富天下,http://218.15.229.90:9901/tsfile/live/1003_1.m3u8?key=txiptv&url=tvzb.com
广东卫视,http://218.15.229.90:9901/tsfile/live/0125_1.m3u8?key=txiptv&url=tvzb.com
深圳都市,http://218.15.229.90:9901/tsfile/live/1004_1.m3u8?key=txiptv&url=tvzb.com
深圳电视剧,http://218.15.229.90:9901/tsfile/live/1005_1.m3u8?key=txiptv&url=tvzb.com
北京卫视,http://218.15.229.90:9901/tsfile/live/0122_1.m3u8?key=txiptv&url=tvzb.com
上海卫视,http://218.15.229.90:9901/tsfile/live/0107_1.m3u8?key=txiptv&url=tvzb.com
天津卫视,http://218.15.229.90:9901/tsfile/live/0135_1.m3u8?key=txiptv&url=tvzb.com
重庆卫视,http://218.15.229.90:9901/tsfile/live/0142_1.m3u8?key=txiptv&url=tvzb.com
江苏卫视,http://218.15.229.90:9901/tsfile/live/0127_1.m3u8?key=txiptv&url=tvzb.com
湖南卫视,http://218.15.229.90:9901/tsfile/live/0128_1.m3u8?key=txiptv&url=tvzb.com
贵州卫视,http://218.15.229.90:9901/tsfile/live/0120_1.m3u8?key=txiptv&url=tvzb.com
安徽卫视,http://218.15.229.90:9901/tsfile/live/0130_1.m3u8?key=txiptv&url=tvzb.com
四川卫视,http://218.15.229.90:9901/tsfile/live/0123_1.m3u8?key=txiptv&url=tvzb.com
广东少儿,http://218.15.229.90:9901/tsfile/live/1006_1.m3u8?key=txiptv&url=tvzb.com
山东卫视,http://218.15.229.90:9901/tsfile/live/0131_1.m3u8?key=txiptv&url=tvzb.com
湖北卫视,http://218.15.229.90:9901/tsfile/live/0132_1.m3u8?key=txiptv&url=tvzb.com
